Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)
 400 	 36.9597037829161 	 400 	 23.2960754825406 	 400 	 36.3025911062201 	 400 	 48.8403708671527 	 400 	 41.8423707171252 	 400 	 39.5334305055031 	 400 	 45.1079322923088 	 400 	 45.7250031818778 	 400 	 39.0081064299438 	 400 	 44.5026538055787 	 400 	 44.0166723805891 	 400 	 36.9381894391607 	 400 	 37.1286324895132 	 400 	 35.7372044208275 	 400 	 37.2595627619128 	 400 	 32.3790156008201 	 400 	 41.5889734262718 	 400 	 42.2917613042648 	 400 	 44.293173374278 	 400 	 40.6917291624648 	 400 	 44.7415501889306 	 400 	 37.9658432546125 	 400 	 45.9821315937757 	 400 	 38.0984004966136 	 400 	 32.9464854724263 	 400 	 42.9051195267438 	 400 	 41.0527405884202 	 400 	 30.743830444629 	 400 	 38.0169780539718 	 400 	 44.99807736634 	 400 	 36.8935764964731 	 400 	 43.0123235425696 	 400 	 42.4593195460261 	 400 	 42.0242102199216 	 400 	 43.2077318695856 	 400 	 35.2385617830605 	 400 	 35.2855841521054 	 400 	 46.7070831330686 	 400 	 28.2525122244245 	 400 	 33.8475810321599 
 400.875 	 36.9528377653907 	 400.4375 	 22.7251355978217 	 401.4 	 37.6304135661157 	 403.5 	 49.1501390600303 	 401.166666666667 	 40.0513274608538 	 400.875 	 38.7232171178937 	 403.5 	 43.7632270734642 	 401.75 	 43.8221654663815 	 400.875 	 38.2362773564435 	 401.75 	 44.3669847604108 	 401.75 	 45.4123052754625 	 400.875 	 36.5640642229815 	 401.75 	 36.3359970544025 	 400.7 	 35.8651255883866 	 400.7 	 37.187478831742 	 400.875 	 31.3105097356689 	 401.75 	 41.1738461144736 	 401.75 	 43.7604575696487 	 401.75 	 41.974111324157 	 403.5 	 40.914209813484 	 403.5 	 45.8735428781683 	 401.75 	 40.3314620896423 	 401.75 	 44.751801610187 	 402.333333333333 	 39.2764424124743 	 400.875 	 34.22142546928 	 407 	 43.3116482037406 	 401.75 	 41.006477735578 	 401.166666666667 	 30.5528850024333 	 400.875 	 36.9854119643853 	 401.75 	 44.2446839825414 	 401.75 	 36.181421233583 	 401.75 	 41.7796935004602 	 403.5 	 40.8641168051884 	 402.333333333333 	 43.990830049264 	 401.4 	 41.0797807140046 	 401.75 	 34.8906486002489 	 400.7 	 35.3852779843599 	 401.75 	 45.9582744068428 	 401.166666666667 	 29.114469756615 	 400.583333333333 	 33.4236580311857 
 401.75 	 37.2139102258276 	 400.65625 	 22.5154923480147 	 402.8 	 39.2885902917556 	 407 	 49.9180821272823 	 402.333333333333 	 38.5504699029949 	 401.75 	 38.1209072958584 	 407 	 43.121109514935 	 403.5 	 41.8666257881568 	 401.75 	 37.6854916521957 	 403.5 	 44.6034038846775 	 403.5 	 46.8702511528914 	 401.75 	 36.3260536279671 	 403.5 	 36.0620826898982 	 401.4 	 36.1675508021774 	 401.4 	 37.3551193888344 	 401.75 	 30.5154303740032 	 403.5 	 41.0896392545316 	 403.5 	 44.9619589280854 	 402.625 	 41.2272982638816 	 407 	 41.9950772222664 	 407 	 46.5000894870686 	 403.5 	 42.1854296931224 	 403.5 	 43.8717932912675 	 404.666666666667 	 40.7091213490379 	 401.75 	 35.6824377188669 	 410.5 	 44.732249364227 	 403.5 	 41.2550508339908 	 402.333333333333 	 30.7567615883586 	 401.75 	 36.2855878085912 	 402.625 	 44.0742754699251 	 402.625 	 36.0533976852004 	 403.5 	 40.9046739484619 	 407 	 40.2041153127084 	 404.666666666667 	 45.4688872858345 	 402.8 	 39.1606645625623 	 402.625 	 34.934038638438 	 401.4 	 35.697431093841 	 403.5 	 45.6058709808183 	 402.333333333333 	 30.3160749582783 	 401.166666666667 	 33.1269476463824 
 402.625 	 37.7187277772546 	 400.875 	 22.3582798823196 	 404.2 	 41.08334924999 	 414 	 49.8470999349321 	 403.5 	 37.4932085738012 	 402.625 	 37.7642870478933 	 410.5 	 42.4575580324624 	 405.25 	 40.3220979935834 	 402.625 	 37.3972012032938 	 405.25 	 45.2357511541597 	 405.25 	 48.3044813885792 	 402.625 	 36.2642847275981 	 405.25 	 36.2235095276266 	 402.1 	 36.6417187500574 	 402.1 	 37.7536808205691 	 402.1875 	 30.2367032024734 	 405.25 	 41.4602471821528 	 405.25 	 46.0097893224423 	 403.0625 	 40.9782217417705 	 414 	 42.8340757080716 	 410.5 	 46.0045336733989 	 405.25 	 43.4502668141298 	 405.25 	 43.5433325988449 	 407 	 41.9913376345979 	 402.625 	 37.2758372541139 	 414 	 45.2021860028803 	 405.25 	 41.8821915886101 	 403.5 	 31.3122916989363 	 402.1875 	 36.0717787170369 	 403.5 	 44.0642543277224 	 403.5 	 36.0933919542923 	 405.25 	 40.6033039451846 	 414 	 39.4660236045423 	 405.833333333333 	 45.9494172489263 	 404.2 	 37.6503805632129 	 403.5 	 35.1588442105487 	 402.1 	 36.2100075313591 	 405.25 	 45.7750920544953 	 403.5 	 31.7956044460775 	 401.75 	 32.9686786699823 
 403.5 	 38.4283957428643 	 401.09375 	 22.2544907843383 	 405.6 	 42.8449890791185 	 417.5 	 48.7233795255252 	 404.083333333333 	 37.1641282400505 	 403.5 	 37.6719027092835 	 414 	 41.0851622895934 	 406.125 	 39.817419012844 	 403.0625 	 37.3586786685209 	 407 	 46.1519293245488 	 407 	 49.5830857816549 	 403.5 	 36.4030913088764 	 407 	 36.6557462296632 	 402.8 	 37.2764949493862 	 402.8 	 38.363246746132 	 402.625 	 30.0428700125091 	 407 	 42.2388707090469 	 407 	 46.9218745966668 	 403.5 	 40.815859978143 	 417.5 	 42.0815956416368 	 414 	 44.8039986661637 	 406.125 	 43.8401264660378 	 407 	 43.7834899608061 	 410.5 	 43.1705875145811 	 403.5 	 38.9461125258691 	 417.5 	 44.4707944307381 	 407 	 42.817833249104 	 404.666666666667 	 32.1412841078864 	 402.625 	 35.9512705559656 	 404.375 	 44.2148071374898 	 404.375 	 36.2964171727317 	 407 	 40.9046618337202 	 417.5 	 38.2563557700271 	 407 	 46.2308785606227 	 405.6 	 36.6725986468927 	 404.375 	 35.5724439211507 	 402.8 	 36.9018555348121 	 407 	 46.4137551425712 	 404.666666666667 	 33.4628641391817 	 402.041666666667 	 32.9436136770595 
 405.25 	 40.2675609962297 	 401.3125 	 22.2047686092995 	 407 	 44.4498403874813 	 419.25 	 48.2587259016154 	 404.666666666667 	 36.9769099120836 	 404.375 	 37.8420761446735 	 417.5 	 39.3626663020129 	 407 	 39.5249150222364 	 403.5 	 37.3915588419277 	 409.333333333333 	 47.5006197592091 	 408.75 	 50.5775649252122 	 405.25 	 37.2944484284572 	 408.75 	 37.1914793191166 	 404.2 	 38.9505442110248 	 404.2 	 40.095173450559 	 403.0625 	 29.9361273339304 	 408.166666666667 	 42.903640650273 	 408.4 	 47.5196224396615 	 403.9375 	 40.7408712673592 	 419.25 	 41.833001947019 	 415.75 	 44.3859612738902 	 407 	 44.0594933252971 	 409.333333333333 	 44.730962567731 	 414 	 43.7263944782837 	 404.375 	 40.6412209218043 	 419.25 	 43.8598376284173 	 409.333333333333 	 44.251213556395 	 407 	 34.241762617779 	 403.0625 	 35.9236210151699 	 405.25 	 44.5137093503751 	 405.25 	 36.6460109783422 	 409.333333333333 	 41.9977355854136 	 419.25 	 37.7067956509655 	 408.75 	 46.2679443114638 	 406.3 	 36.3949053046198 	 405.25 	 36.1666430208377 	 404.2 	 38.7073736068614 	 409.333333333333 	 47.6774196213567 	 405.833333333333 	 35.2192385579676 	 402.333333333333 	 32.9550968514525 
 407 	 42.3375756389999 	 401.53125 	 22.2094011454577 	 409.333333333333 	 46.6003193894008 	 421 	 48.2929718742834 	 405.25 	 36.9322400126248 	 405.25 	 38.2547464912913 	 418.375 	 39.0332796160388 	 408.166666666667 	 39.4708434641529 	 404.375 	 37.6661158394565 	 411.666666666667 	 48.634484973734 	 410.5 	 51.1957405986566 	 407 	 38.8747538935906 	 410.5 	 37.7196198204283 	 405.6 	 40.9971426435574 	 405.6 	 42.2713444657007 	 403.5 	 29.9169774492775 	 409.333333333333 	 43.6115576274273 	 409.8 	 47.9520843994468 	 404.375 	 40.7521586871621 	 421 	 42.1180454684981 	 417.5 	 44.3984376457979 	 408.166666666667 	 44.0803518164887 	 411.666666666667 	 45.9203215207401 	 416.333333333333 	 44.2650136838616 	 405.25 	 42.3163588536524 	 421 	 43.5206264104902 	 411.666666666667 	 45.5023570407931 	 408.75 	 35.8675416963613 	 403.28125 	 35.9439788697639 	 407 	 45.4595781066956 	 407 	 37.6782568545314 	 411.666666666667 	 43.4067366111044 	 421 	 37.6585838196793 	 410.5 	 45.8737474032813 	 407 	 36.2515860294739 	 407 	 37.8000842616035 	 405.6 	 40.8556877648083 	 411.666666666667 	 48.9437682950339 	 407 	 36.9731644145783 	 402.916666666667 	 33.0872739856626 
 408.75 	 44.3172333501271 	 401.75 	 22.2683190456902 	 411.666666666667 	 48.0588419775998 	 422.166666666667 	 48.5886520016548 	 405.833333333333 	 37.0259237813906 	 406.125 	 38.8750622312767 	 419.25 	 38.7993757480885 	 409.333333333333 	 39.7685956899792 	 405.25 	 38.1977710401243 	 414 	 49.3411503636751 	 412.25 	 51.3958718590789 	 408.4 	 40.4462554095501 	 414 	 38.7120746265739 	 407 	 43.2053967270789 	 407 	 44.608432939944 	 404.375 	 30.1352885574321 	 411.666666666667 	 44.9183999719284 	 411.2 	 48.1711770214908 	 404.8125 	 40.8469900594497 	 421.4375 	 42.2813819846331 	 419.25 	 45.0170076810501 	 409.333333333333 	 43.7895411224776 	 414 	 46.92343388543 	 418.666666666667 	 45.3201142617616 	 406.125 	 43.9355546135601 	 424.5 	 43.595928868203 	 414 	 46.2838965560387 	 410.5 	 37.3216731770531 	 403.5 	 35.9865677881647 	 408.166666666667 	 46.2474485981194 	 408.166666666667 	 38.5120182774166 	 414 	 44.6967371078522 	 422.166666666667 	 37.9345181286063 	 414 	 44.2649118234054 	 408.75 	 36.3968573855957 	 408.4 	 39.3799554073255 	 407 	 43.0946054619869 	 414 	 49.8391539675279 	 408.4 	 38.9736904631304 	 403.5 	 33.3612531075183 
 410.5 	 46.0112217969578 	 402.1875 	 22.5469772503283 	 414 	 48.9781314386043 	 423.333333333333 	 49.0314339686161 	 407 	 37.5914650413512 	 407 	 39.6587279489346 	 420.125 	 38.7255408032963 	 411.666666666667 	 41.1158714918084 	 407 	 39.8633463536164 	 421 	 50.189333573613 	 414 	 51.1909634491473 	 409.8 	 42.1151174320328 	 416.333333333333 	 39.5790324074861 	 408.166666666667 	 45.0368583406229 	 408.166666666667 	 46.5120196887335 	 405.25 	 30.6710007318453 	 412.833333333333 	 45.4251357154593 	 412.6 	 48.1352168024193 	 405.25 	 41.0211613648186 	 421.875 	 42.4694911915663 	 421 	 46.3970804261619 	 411.666666666667 	 42.3211734358057 	 417.5 	 47.7280291893736 	 421 	 47.1094244996555 	 407 	 45.4724580834606 	 428 	 44.3899438413598 	 421 	 46.3382959024413 	 412.25 	 38.5298351866635 	 404.375 	 36.3670171588345 	 409.333333333333 	 47.0707804451017 	 409.333333333333 	 39.3773649709285 	 417.5 	 46.0345975242904 	 423.333333333333 	 38.4058342267258 	 415.75 	 43.4637224842419 	 410.5 	 37.0415449064738 	 409.8 	 41.0348647851766 	 408.4 	 45.2247992093783 	 421 	 50.1673797490002 	 409.8 	 40.7852825515619 	 404.666666666667 	 34.2966772443587 
 412.25 	 47.3436385736394 	 402.625 	 23.0333275141617 	 417.5 	 49.918922154032 	 425.666666666667 	 50.3219544083831 	 407.7 	 38.1371147645342 	 407.7 	 40.3709436808849 	 421 	 38.9134881644164 	 414 	 42.844971652103 	 407.7 	 40.6805520128733 	 423.333333333333 	 51.2290232717347 	 417.5 	 49.895217312611 	 411.2 	 43.7430403628565 	 418.666666666667 	 40.9157436556024 	 409.333333333333 	 46.7771072920766 	 409.333333333333 	 48.2759365713657 	 406.125 	 31.4779153553516 	 414 	 45.7965162277408 	 414 	 47.816007327082 	 406.125 	 41.5839970334615 	 422.75 	 42.9207109954222 	 422.166666666667 	 47.6247550298912 	 414 	 39.9108538112302 	 421 	 48.2349382648711 	 422.4 	 48.4513307365156 	 408.166666666667 	 47.3653172509173 	 431.5 	 45.5137278858758 	 424.5 	 47.0609843843646 	 414 	 39.5102995337848 	 405.25 	 37.0450419686966 	 411.666666666667 	 48.5644404172719 	 411.666666666667 	 40.9821654045465 	 421 	 47.1097505606104 	 425.666666666667 	 39.9371315839498 	 417.5 	 43.0130793876554 	 414 	 38.7396185547342 	 411.2 	 42.6306074939668 	 409.8 	 47.1151443190071 	 424.5 	 50.7884207061724 	 411.2 	 42.3736956000076 	 407 	 37.2889723640007 
