Wavelength  (nm)	Reflectance (%)	Transmittance (%)	Reflectance Phase (deg)	Transmittance Phase (deg)
 400	 40.348455291277	 59.651544708723	 172.869577839072	 125.587942733463
 400.2	 40.2618605134725	 59.7381394865274	 173.0727531395	 127.014876738617
 400.4	 40.1803206463112	 59.8196793536888	 173.267361235827	 128.444137913916
 400.6	 40.1042773855145	 59.8957226144854	 173.453800734386	 129.875515071054
 400.8	 40.034142139594	 59.9658578604059	 173.632486397369	 131.308788206046
 401	 39.9702945559738	 60.0297054440262	 173.80384800882	 132.743729428553
 401.2	 39.9130811905394	 60.0869188094606	 173.968329031408	 134.180103922512
 401.4	 39.862814337467	 60.137185662533	 174.126385066337	 135.61767093317
 401.6	 39.8197710344593	 60.1802289655406	 174.27848213227	 137.056184775284
 401.8	 39.7841922565357	 60.2158077434643	 174.425094782512	 138.495395856888
 402	 39.756282309301	 60.2437176906989	 174.566704082694	 139.935051712822
 402.2	 39.736208430214	 60.263791569786	 174.703795473884	 141.374898042013
 402.4	 39.7241006038155	 60.2758993961845	 174.836856548179	 142.814679742387
 402.6	 39.7200515942301	 60.2799484057699	 174.966374765462	 144.254141937307
 402.8	 39.7241171955538	 60.2758828044462	 175.092835141024	 145.693030987402
 403	 39.7363166980531	 60.2636833019469	 175.216717934118	 147.131095481858
 403.2	 39.7566335654697	 60.2433664345304	 175.338496367282	 148.568087203374
 403.4	 39.7850163162039	 60.2149836837961	 175.458634405333	 150.003762061275
 403.6	 39.8213795987864	 60.1786204012135	 175.57758462149	 151.437880987593
 403.8	 39.8656054498824	 60.1343945501176	 175.695786175992	 152.87021079132
 404	 39.9175447211382	 60.0824552788618	 175.81366293009	 154.300524966451
 404.2	 39.97701865952	 60.02298134048	 175.931621715341	 155.728604449934
 404.4	 40.0438206244093	 59.9561793755907	 176.050050774908	 157.154238326121
 404.6	 40.1177179236489	 59.882282076351	 176.169318390121	 158.577224474879
 404.8	 40.1984770890461	 59.8015229109539	 176.289759484971	 159.997378374327
 405	 40.2858215363293	 59.7141784636707	 176.411701575742	 161.414515611057
 405.2	 40.3794295016323	 59.6205704983677	 176.535459939774	 162.828454924692
 405.4	 40.4789838149034	 59.5210161850966	 176.661313350457	 164.239034574377
 405.6	 40.5841515513285	 59.4158484486716	 176.789516724029	 165.646103959328
 405.8	 40.6945861877165	 59.3054138122835	 176.920300941026	 167.049523899745
 406	 40.8099297483046	 59.1900702516954	 177.053872851449	 168.449166856455
 406.2	 40.9298149239536	 59.0701850760464	 177.190415452475	 169.844917090568
 406.4	 41.0538671499427	 58.9461328500573	 177.330088225784	 171.236670764807
 406.6	 41.1817066289237	 58.8182933710763	 177.473027620293	 172.624335988553
 406.8	 41.3129502870473	 58.6870497129527	 177.619347665143	 174.007832808912
 407	 41.4472136527811	 58.552786347219	 177.769140697211	 175.387093150432
 407.2	 41.5841126494743	 58.4158873505257	 177.922478187232	 176.762060706263
 407.4	 41.7232652942624	 58.2767347057377	 178.079411648673	 178.132690783768
 407.6	 41.864293297412	 58.135706702588	 178.239973613885	 179.498950107693
 407.8	 42.0068235576708	 57.9931764423292	 178.404178662649	-179.139183415885
 408	 42.150489550577	 57.8495104494231	 178.572024489035	-177.781720971585
 408.2	 42.2949326079926	 57.7050673920074	 178.743492993418	-176.428663139449
 408.4	 42.4398030883327	 57.5601969116674	 178.918551387578	-175.080000229126
 408.6	 42.5847614380662	 57.4152385619338	 179.097153301942	-173.735712640318
 408.8	 42.7294791460523	 57.2705208539477	 179.279239885188	-172.395771246373
 409	 42.8736395931435	 57.1263604068565	 179.46474088768	-171.060137798009
 409.2	 43.0169388002413	 56.9830611997587	 179.653575721331	-169.728765344286
 409.4	 43.1590860786198	 56.8409139213803	 179.845654489713	-168.401598668051
 409.6	 43.2998045868501	 56.7001954131499	-179.959121016704	-167.078574733275
 409.8	 43.4388317990704	 56.5611682009296	-179.760856364235	-165.759623141816
 410	 43.5759198896415	 56.4240801103586	-179.559663561637	-164.44466659733
 410.2	 43.710836039442	 56.2891639605581	-179.355660189946	-163.133621374227
 410.4	 43.8433626691678	 56.1566373308323	-179.148968577836	-161.826397789714
 410.6	 43.973297605039	 56.026702394961	-178.939715023139	-160.52290067716
 410.8	 44.1004541822804	 55.8995458177197	-178.728029060522	-159.223029859173
 411	 44.2246612916389	 55.7753387083611	-178.514042774755	-157.926680618934
 411.2	 44.3457633740494	 55.6542366259506	-178.297890158522	-156.633744168498
 411.4	 44.4636203683523	 55.5363796316478	-178.079706513332	-155.344108112912
 411.6	 44.5781076167299	 55.4218923832701	-177.859627891752	-154.057656909136
 411.8	 44.6891157322502	 55.3108842677498	-177.637790578931	-152.774272318898
 412	 44.796550432613	 55.203449567387	-177.414330611165	-151.493833854687
 412.2	 44.9003323438726	 55.0996676561274	-177.189383329116	-150.216219218276
 412.4	 45.0003967775895	 54.9996032224106	-176.963082963204	-148.941304731165
 412.6	 45.0966934845198	 54.9033065154803	-176.735562248639	-147.66896575651
 412.8	 45.1891863876237	 54.8108136123764	-176.506952067527	-146.399077112129
 413	 45.2778532968313	 54.7221467031688	-176.277381115531	-145.131513474244
 413.2	 45.3626856076794	 54.6373143923206	-176.046975590621	-143.86614977171
 413.4	 45.4436879856135	 54.5563120143866	-175.815858901483	-142.602861570475
 413.6	 45.5208780374382	 54.4791219625618	-175.584151393329	-141.341525448103
 413.8	 45.5942859711131	 54.4057140288869	-175.351970088901	-140.082019358171
 414	 45.6639542448068	 54.3360457551932	-175.11942844265	-138.82422298442
