Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%)
 400 , 9.20376365622596 , 400 , 9.2894371127401 , 400 , 7.20176961904622 , 400 , 9.93140255736078 , 400 , 7.92636270030896 , 400 , 8.01597732026733 , 400 , 9.3732037375741 , 400 , 8.64795935641523 , 400 , 11.8311458887731 , 400 , 10.5610149377628 , 400 , 9.84163695121741 , 400 , 7.58443435371944 , 400 , 6.68688857383498 , 400 , 12.4902313312843 , 400 , 10.2729717366037 , 400 , 11.4191362469937 , 400 , 9.10027698832597 , 400 , 10.445006740927 , 400 , 10.3020794897845 , 400 , 9.96545411088655 , 400 , 9.33534918481172 , 400 , 11.5419317618824 , 400 , 10.5949706411783 , 400 , 9.99662594426967 , 400 , 12.0882150902807 , 400 , 10.2114967221709 , 400 , 8.13597663596957 , 400 , 9.52835630839571 , 400 , 12.2303014708456 , 400 , 7.73836918076414 
 400.9 , 9.98902174986193 , 400.72 , 10.0603024166964 , 401.2 , 7.87274730872368 , 400.553846153846 , 10.4577686242622 , 400.738461538462 , 8.42733506771878 , 400.738461538462 , 8.61765431495173 , 400.72 , 10.1165732149275 , 400.9 , 9.52308392558633 , 400.6 , 12.6102779231019 , 400.443076923077 , 11.0703180981137 , 400.443076923077 , 10.2630792119238 , 401.2 , 8.34638346784426 , 401.2 , 7.4933846047786 , 400.369230769231 , 13.0189789265575 , 400.443076923077 , 10.8107614885408 , 400.9 , 12.338525540401 , 400.9 , 9.94457807754406 , 400.72 , 11.2531033001271 , 400.9 , 11.1617925103033 , 400.553846153846 , 10.4731884253505 , 400.72 , 10.1054304714764 , 400.6 , 12.2854123400975 , 400.369230769231 , 11.075078372213 , 400.443076923077 , 10.5328843981833 , 400.514285714286 , 12.8871820399637 , 400.72 , 11.0549904763473 , 400.738461538462 , 8.65750011780929 , 400.9 , 10.4350099248842 , 400.369230769231 , 12.7379983010846 , 401.2 , 8.59822697936918 
 401.8 , 10.9026451576464 , 401.44 , 10.9351197456412 , 402.4 , 8.69485857112882 , 400.9 , 10.8110406975719 , 401.2 , 8.77508296137126 , 401.2 , 9.03149921231275 , 401.44 , 10.9514417217946 , 401.8 , 10.5494654346909 , 401.2 , 13.4651233109923 , 400.72 , 11.4078003089677 , 400.72 , 10.541714467721 , 402.4 , 9.28233996097095 , 402.4 , 8.48790808002327 , 400.6 , 13.3643038870477 , 400.72 , 11.1689862256869 , 401.8 , 13.4052845502942 , 401.8 , 10.9210204851069 , 401.44 , 12.158483880319 , 401.8 , 12.1420990058975 , 400.9 , 10.8142505654688 , 401.44 , 10.9765137699605 , 401.2 , 13.1009255471607 , 400.6 , 11.3912878728105 , 400.72 , 10.8893755335888 , 401.028571428571 , 13.7610210153635 , 401.44 , 12.0065063727392 , 401.2 , 9.01948418504378 , 401.8 , 11.4777096550425 , 400.6 , 13.0709126624808 , 402.4 , 9.65193392428865 
 402.7 , 11.9633622553324 , 402.16 , 11.9273105936156 , 403.6 , 9.69637070962488 , 401.453846153846 , 11.4177095670888 , 401.938461538462 , 9.39247566401428 , 401.938461538462 , 9.75941753591544 , 402.16 , 11.8880611393525 , 402.7 , 11.7518109698701 , 401.8 , 14.4017301295941 , 401.163076923077 , 11.9802254089484 , 401.163076923077 , 11.0131998139551 , 403.6 , 10.4268142241444 , 403.6 , 9.71264727011113 , 400.969230769231 , 13.9414279484073 , 401.163076923077 , 11.7798505295989 , 402.7 , 14.637865004775 , 402.7 , 12.0480223260513 , 402.16 , 13.171064297581 , 402.7 , 13.2561858411261 , 401.453846153846 , 11.4004562896562 , 402.16 , 11.9609246850643 , 401.8 , 13.9942355581027 , 400.969230769231 , 11.9243929583943 , 401.163076923077 , 11.496047599449 , 401.542857142857 , 14.7160717025262 , 402.16 , 13.0776702775777 , 401.938461538462 , 9.66237885657278 , 402.7 , 12.6734117711012 , 400.969230769231 , 13.6295577262587 , 403.6 , 10.9383864368181 
 403.6 , 13.1922242299277 , 402.88 , 13.0517070657737 , 404.32 , 10.3973974611941 , 401.8 , 11.8242009505213 , 402.4 , 9.81973596636211 , 402.4 , 10.2583532589355 , 402.88 , 12.9374351854736 , 403.6 , 13.1578865409851 , 402.4 , 15.4262320013506 , 401.44 , 12.3592633766971 , 401.44 , 11.3246405492434 , 404.32 , 11.2306528784894 , 404.32 , 10.578974353589 , 401.2 , 14.3179442303628 , 401.44 , 12.1865097974203 , 403.6 , 16.0559527929551 , 403.6 , 13.345722698993 , 402.88 , 14.3011632003352 , 403.6 , 14.5177213692235 , 401.8 , 11.7935764115147 , 402.88 , 13.0720346223462 , 402.4 , 14.9712432485866 , 401.2 , 12.2753005597766 , 401.44 , 11.8990950458662 , 402.057142857143 , 15.758916434951 , 402.88 , 14.2804193695075 , 402.4 , 10.1076100538403 , 403.6 , 14.0397996730862 , 401.2 , 13.9954883841204 , 404.32 , 11.8407680321034 
 404.2 , 14.1162012009831 , 403.6 , 14.3244370312731 , 405.04 , 11.1836920219664 , 402.140828402367 , 12.2460713078204 , 402.854437869823 , 10.2741575577283 , 402.854437869823 , 10.7848072494573 , 403.6 , 14.1111403857818 , 404.114285714286 , 14.0643723043443 , 403 , 16.5446805853307 , 401.883076923077 , 13.0016570024466 , 401.883076923077 , 11.8511525137328 , 405.04 , 12.134710766662 , 405.04 , 11.5591798717372 , 401.569230769231 , 14.9464601475553 , 401.883076923077 , 12.8794755417313 , 404.114285714286 , 16.9573008739674 , 404.114285714286 , 14.1720868626551 , 403.6 , 15.5591954554093 , 404.2 , 15.4473828052812 , 402.140828402367 , 12.2018505918925 , 403.6 , 14.3240397105644 , 403 , 16.0378554136822 , 401.569230769231 , 12.8664962462366 , 401.712662721893 , 12.3148082183909 , 402.571428571429 , 16.8962692371736 , 403.6 , 15.6264748041655 , 402.854437869823 , 10.5815531905001 , 404.114285714286 , 14.9040164793415 , 401.569230769231 , 14.6088048297177 , 405.04 , 12.8542440531047 
 404.8 , 15.1322937715516 , 404.05 , 15.202812112147 , 405.76 , 12.0645936593872 , 402.353846153846 , 12.5210489458185 , 403.138461538462 , 10.5761868712671 , 403.138461538462 , 11.1323272792037 , 404.114285714286 , 15.0321884883291 , 404.628571428571 , 15.0530394511777 , 403.6 , 17.7628191662786 , 402.16 , 13.4266491403579 , 402.16 , 12.1986160960235 , 405.76 , 13.1502308813466 , 405.76 , 12.6671546048064 , 401.8 , 15.3559919741336 , 402.16 , 13.3404123186212 , 404.628571428571 , 17.9293908915841 , 404.628571428571 , 15.065194465996 , 404.05 , 16.4149342433697 , 404.8 , 16.4524076068509 , 402.353846153846 , 12.4681193829479 , 404.05 , 15.1845889493256 , 403.6 , 17.1998078633428 , 401.8 , 13.2553388770878 , 401.883076923077 , 12.5844785679937 , 403.085714285714 , 18.1348185844082 , 404.05 , 16.545371422947 , 403.138461538462 , 10.8968354618233 , 404.628571428571 , 15.8328225450849 , 401.8 , 15.0100279691106 , 405.76 , 13.9903999151433 
 405.4 , 16.2476765143809 , 404.5 , 16.1501421158353 , 406.48 , 13.0503298487698 , 402.7 , 12.9871175196721 , 403.6 , 11.0982844496114 , 403.6 , 11.7285370367847 , 404.628571428571 , 16.0270094872036 , 405.142857142857 , 16.1295659525619 , 404 , 18.6328681756055 , 402.432662721894 , 13.8635482301695 , 402.603076923077 , 12.7854480982913 , 406.48 , 14.2893785954148 , 406.48 , 13.9178571848572 , 402.027218934911 , 15.7720674042293 , 402.432662721894 , 13.8162343608255 , 405.142857142857 , 18.9754537879412 , 405.142857142857 , 16.028917511717 , 404.5 , 17.3268853070872 , 405.4 , 17.5361474095157 , 402.7 , 12.9197044642398 , 404.5 , 16.1094526324247 , 404.05 , 18.137070631244 , 402.169230769231 , 13.909852032026 , 402.16 , 13.0394226687667 , 403.6 , 19.4810134273728 , 404.5 , 17.5267370168518 , 403.6 , 11.4424478897101 , 405.142857142857 , 16.8289355225441 , 402.169230769231 , 15.6815236573617 , 406.48 , 15.2612162417787 
 406 , 17.4696091896044 , 404.95 , 17.1706986244622 , 407.2 , 14.1517657588165 , 403.040828402367 , 13.4700988033957 , 404.043076923077 , 11.6380374545274 , 404.043076923077 , 12.3387878359737 , 405.142857142857 , 17.0996117701662 , 405.657142857143 , 17.2995944125325 , 404.4 , 19.5508262190768 , 402.603076923077 , 14.1461931645868 , 402.88 , 13.1723212337473 , 407.2 , 15.564860568898 , 407.2 , 15.3267983080734 , 402.169230769231 , 16.0386844320888 , 402.603076923077 , 14.1250870829928 , 405.657142857143 , 20.098544780823 , 405.657142857143 , 17.0671518934533 , 404.95 , 18.2970414671847 , 406 , 18.7016496424295 , 403.040828402367 , 13.388049650859 , 404.95 , 17.1020120848125 , 404.5 , 19.1329852940217 , 402.4 , 14.3399013683207 , 402.432662721894 , 13.5083005036094 , 403.927272727273 , 20.3964739799205 , 404.95 , 18.5723156857488 , 404.043076923077 , 12.0074225484221 , 405.657142857143 , 17.894880382145 , 402.4 , 16.1201151857429 , 407.2 , 16.6784011979531 
 406.6 , 18.8047653817137 , 405.4 , 18.2687573036145 , 407.714285714286 , 15.0156358271793 , 403.253846153846 , 13.7845093898205 , 404.32 , 11.9956075158563 , 404.32 , 12.7395633996364 , 405.657142857143 , 18.2539082037566 , 406.171428571429 , 18.5682074413176 , 404.8 , 20.517708757978 , 402.88 , 14.6216865153075 , 403.152662721893 , 13.5689540849105 , 407.65 , 16.4370304606016 , 407.65 , 16.2946671880367 , 402.4 , 16.4828660502655 , 402.88 , 14.6464225411223 , 406.171428571429 , 21.3010299326969 , 406.171428571429 , 18.1834085156043 , 405.4 , 19.3271619829064 , 406.6 , 19.9510644835515 , 403.253846153846 , 13.6931403696899 , 405.4 , 18.1655072496165 , 404.95 , 20.1891784234971 , 402.627218934911 , 14.7796535264704 , 402.603076923077 , 13.8122481408995 , 404.254545454545 , 21.3593026205563 , 405.4 , 19.6833414808307 , 404.32 , 12.3822686019857 , 406.171428571429 , 19.0325510317444 , 402.627218934911 , 16.5664715227508 , 407.65 , 17.6433286367616 
