Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)	Wavelength (nm)	Reflectance (%)
 400 	 29.1809413581264 	 400 	 30.894387489177 	 400 	 32.4272311668296 	 400 	 32.2858240842754 	 400 	 32.8896431851586 	 400 	 33.1944787805374 	 400 	 30.8045514824932 	 400 	 29.2921679645886 	 400 	 30.3979890993376 	 400 	 31.2501229466225 	 400 	 31.06882089831 	 400 	 32.0290613831244 	 400 	 32.4315072280439 	 400 	 32.3409168737917 	 400 	 33.2975057861873 	 400 	 30.0832178517111 	 400 	 30.0751033846153 	 400 	 29.6267385734956 	 400 	 31.6020489947319 	 400 	 28.6212305085794 	 400 	 28.9706859964718 	 400 	 31.823384770483 	 400 	 31.965933132927 	 400 	 32.2324529385157 	 400 	 29.7943786727892 	 400 	 28.479226062031 	 400 	 29.800216486865 	 400 	 29.5378773942959 	 400 	 30.469788934979 	 400 	 30.0911171562587 	 400 	 31.1761842579621 	 400 	 30.8019162872433 	 400 	 33.2017813792421 	 400 	 30.3530904509733 	 400 	 33.3152293786016 	 400 	 32.639040764202 	 400 	 32.4040764562231 	 400 	 30.9699916917556 	 400 	 31.4917604509389 	 400 	 32.4078078327934 
 403.5 	 29.651709630097 	 401.75 	 31.7820488427691 	 402.333333333333 	 33.2872466327452 	 403.5 	 32.9269079992188 	 403.5 	 33.4762291565339 	 403.5 	 33.867929012698 	 402.333333333333 	 31.4516143353308 	 402.333333333333 	 30.1126173469891 	 402.333333333333 	 30.9109107872234 	 403.5 	 31.7098870548176 	 401.75 	 31.7589817329616 	 403.5 	 32.5485832023226 	 403.5 	 33.1933068678132 	 402.333333333333 	 33.1937895224716 	 403.5 	 33.7711118478081 	 402.333333333333 	 30.7223161555364 	 402.333333333333 	 30.8944038517595 	 402.333333333333 	 30.4777567458675 	 401.75 	 32.3179182032336 	 402.333333333333 	 29.5779662052951 	 402.333333333333 	 29.6361614377199 	 402.333333333333 	 32.4391764916079 	 401.75 	 32.8180594183017 	 401.75 	 33.1964015131819 	 401.75 	 30.5462573315492 	 401.75 	 29.2710276030073 	 401.75 	 30.6325133155665 	 402.333333333333 	 30.4477270624533 	 403.5 	 30.9550396800559 	 402.333333333333 	 30.79171618076 	 401.75 	 32.1355294885038 	 401.75 	 31.569460245925 	 402.333333333333 	 34.0374432581751 	 401.75 	 31.2533287671849 	 401.75 	 34.2559581453397 	 402.333333333333 	 33.2244740961745 	 401.75 	 33.3627531389678 	 403.5 	 31.5028755811992 	 402.333333333333 	 32.1898358836113 	 403.5 	 33.1241091070927 
 407 	 30.3341035305912 	 403.5 	 32.7194987325763 	 404.666666666667 	 34.300029931239 	 407 	 33.8894376783732 	 407 	 34.3220796224229 	 407 	 34.377125326666 	 404.666666666667 	 32.2570173885865 	 404.666666666667 	 31.0884477083361 	 404.666666666667 	 31.5775491854646 	 407 	 32.290343981714 	 403.5 	 32.5343888260889 	 407 	 33.3164289553322 	 407 	 34.2883487635985 	 404.666666666667 	 34.2037226029933 	 407 	 34.2717449233009 	 404.666666666667 	 31.523834045993 	 404.666666666667 	 31.8723127594632 	 404.666666666667 	 31.4896047931542 	 403.5 	 33.1181715957145 	 404.666666666667 	 30.6766682227075 	 404.666666666667 	 30.4702622813628 	 404.666666666667 	 33.2167430199041 	 403.5 	 33.732168396631 	 403.5 	 34.1723419305337 	 403.5 	 31.375465668925 	 403.5 	 30.131115271306 	 403.5 	 31.5232117213705 	 404.666666666667 	 31.5079177354634 	 407 	 31.6437412297964 	 404.666666666667 	 31.6573043772013 	 403.5 	 33.0886366683013 	 403.5 	 32.4128448904157 	 404.666666666667 	 35.033264920839 	 403.5 	 32.1958569739338 	 403.5 	 35.2297871307716 	 404.666666666667 	 33.964371087516 	 403.5 	 34.3362655097465 	 407 	 32.2980020144733 	 404.666666666667 	 33.0531564090289 	 407 	 34.1681706712225 
 409.333333333333 	 30.9621768541892 	 405.25 	 33.6880336215477 	 407 	 35.4415580730602 	 409.333333333333 	 34.7373050546533 	 409.333333333333 	 35.0723085907535 	 410.5 	 34.8770178656547 	 407 	 33.2159036149491 	 407 	 32.1965370870292 	 407 	 32.4073492978937 	 409.333333333333 	 32.8136979241358 	 405.25 	 33.3831980312408 	 409.333333333333 	 34.0173839455316 	 408.75 	 34.9699304444136 	 407 	 35.3462731912247 	 410.5 	 34.9600603033044 	 407 	 32.4829994908646 	 407 	 32.9863136455308 	 407 	 32.6360811502479 	 405.25 	 33.9900649035939 	 407 	 31.8825812029982 	 407 	 31.4636521804512 	 407 	 34.1552641400838 	 405.25 	 34.6902625999454 	 405.25 	 35.1421936481299 	 405.25 	 32.2674317806488 	 405.25 	 31.0431832565631 	 405.25 	 32.4549033685409 	 407 	 32.6876481297258 	 409.333333333333 	 32.2731776144081 	 407 	 32.6767114166436 	 405.25 	 34.0192895831846 	 405.25 	 33.3170887411117 	 407 	 36.1667362901947 	 405.25 	 33.1617605532904 	 405.25 	 36.2174586260345 	 407 	 34.8628515391634 	 405.25 	 35.3064827126585 	 409.333333333333 	 33.0192305999038 	 407 	 34.0716131381826 	 409.333333333333 	 35.0652804483206 
 411.666666666667 	 31.7469675198627 	 407 	 34.6688516835003 	 408.75 	 36.3621321415224 	 411.666666666667 	 35.7438135225536 	 411.666666666667 	 35.9780621574824 	 414 	 35.5255389968168 	 408.75 	 34.024910930146 	 408.75 	 33.0947090779233 	 408.75 	 33.1333866907814 	 411.666666666667 	 33.4786758278655 	 407 	 34.2902170278837 	 411.666666666667 	 34.8819992490508 	 410.5 	 35.7351787476159 	 408.75 	 36.2696529512616 	 414 	 35.9527856314654 	 408.75 	 33.2947713869593 	 408.75 	 33.8914986897942 	 408.75 	 33.5627481511231 	 407 	 34.917698051797 	 408.75 	 32.8327706492593 	 408.75 	 32.2995324513136 	 408.75 	 34.9556348754842 	 407 	 35.6734095806529 	 407 	 36.0896924681715 	 407 	 33.2051785474383 	 407 	 31.9893814085598 	 407 	 33.4093752008761 	 408.75 	 33.6277270114721 	 411.666666666667 	 33.0584080766258 	 408.75 	 33.5277990156829 	 407 	 34.9136535820173 	 407 	 34.2649792386465 	 408.75 	 37.0873173757584 	 407 	 34.1324661880276 	 407 	 37.2006306764026 	 408.75 	 35.6345678200435 	 407 	 36.2569619129457 	 411.666666666667 	 33.9016724812223 	 408.75 	 34.9232798585537 	 411.666666666667 	 36.1119431141574 
 414 	 32.6857015437349 	 408.75 	 35.6439948794724 	 410.5 	 37.319237305744 	 414 	 36.8855263329118 	 414 	 37.0265487390737 	 416.333333333333 	 36.103934663408 	 410.5 	 34.897035344123 	 410.5 	 34.0318282003535 	 410.5 	 33.9388625913164 	 414 	 34.2961887187176 	 408.75 	 35.2383789450816 	 414 	 35.9014153496877 	 412.25 	 36.573893479864 	 410.5 	 37.2308012340695 	 416.333333333333 	 36.8083631735524 	 410.5 	 34.1715549220335 	 410.5 	 34.8376899459801 	 410.5 	 34.5268278683321 	 408.75 	 35.8834978543476 	 410.5 	 33.8015680745412 	 410.5 	 33.1973234432426 	 410.5 	 35.8255511243064 	 408.75 	 36.6629215799172 	 408.75 	 37.0006436092737 	 408.75 	 34.170700870374 	 408.75 	 32.9515379938867 	 408.75 	 34.3686888880754 	 410.5 	 34.5949660192245 	 414 	 33.9977126198652 	 410.5 	 34.4368801758554 	 409.333333333333 	 36.0302054022635 	 408.75 	 35.2384387307392 	 410.5 	 38.0493172081613 	 408.75 	 35.0905449063524 	 408.75 	 38.1625363994027 	 410.5 	 36.4790094981686 	 408.75 	 37.1732499166106 	 414 	 34.9335179491164 	 410.5 	 35.8342293135017 	 414 	 37.281982123944 
 415.75 	 33.480536945461 	 410.5 	 36.5970444003564 	 412.25 	 38.2952048516238 	 415.75 	 37.8097975602673 	 415.75 	 37.8912100539658 	 418.666666666667 	 36.8260379683921 	 412.25 	 35.8168181947558 	 412.25 	 34.9901809290671 	 412.25 	 34.8108791406346 	 415.75 	 35.0069551833663 	 410.5 	 36.209410510806 	 415.75 	 36.7536541991645 	 414 	 37.4723277344799 	 412.25 	 38.211547360029 	 418.666666666667 	 37.8124043595476 	 412.25 	 35.0975249929847 	 412.25 	 35.8069119280925 	 412.25 	 35.5096665855765 	 410.5 	 36.8689168377725 	 412.25 	 34.7708179706564 	 412.25 	 34.1399697753475 	 412.25 	 36.7497018062615 	 410.5 	 37.6410887374962 	 410.5 	 37.8635275303985 	 410.5 	 35.1456699365275 	 410.5 	 33.9118667324296 	 410.5 	 35.3158748439765 	 412.25 	 35.5710331984405 	 415.75 	 34.793558751723 	 412.25 	 35.3869676304254 	 411.666666666667 	 37.0428596065755 	 410.5 	 36.2192352959499 	 412.25 	 39.0345079644703 	 410.5 	 36.0203935830538 	 410.5 	 39.0886244694857 	 412.25 	 37.3822735398945 	 410.5 	 38.043488509068 	 415.75 	 35.7902882086986 	 412.25 	 36.7875257359433 	 415.75 	 38.2189977273129 
 417.5 	 34.3401041353923 	 412.25 	 37.5138290023144 	 414 	 39.2727341268383 	 417.5 	 38.773240739236 	 417.5 	 38.8069544589837 	 421 	 37.6975494656066 	 414 	 36.7673299032328 	 414 	 35.952285243857 	 414 	 35.7336829775833 	 417.5 	 35.7934129448435 	 412.25 	 37.1852321288818 	 417.5 	 37.6654229521439 	 415.75 	 38.4143543280395 	 414 	 39.1940919585013 	 421 	 38.9426713509395 	 414 	 36.0553251608661 	 414 	 36.7813465049346 	 414 	 36.4930740850431 	 412.25 	 37.8558124047113 	 414 	 35.7236972724424 	 414 	 35.1092564034116 	 414 	 37.7108829645686 	 412.25 	 38.5921022056536 	 412.25 	 38.6696620257043 	 412.25 	 36.112660622887 	 412.25 	 34.8540011080465 	 412.25 	 36.2357982323345 	 414 	 36.5385435989659 	 417.5 	 35.6548957500526 	 414 	 36.3601343704247 	 414 	 37.9413952530758 	 412.25 	 37.1901717538236 	 414 	 40.024852180333 	 412.25 	 36.9088285212274 	 412.25 	 39.9670042295542 	 414 	 38.3281355593524 	 412.25 	 38.8586128141705 	 417.5 	 36.7019564389849 	 414 	 37.7652139109446 	 417.5 	 39.1879529961235 
 419.25 	 35.2495972025215 	 414 	 38.382792883001 	 415.75 	 40.2357602116297 	 419.25 	 39.7577285677194 	 419.25 	 39.7573788516155 	 422.75 	 38.4441012975118 	 415.75 	 37.7312902014739 	 415.75 	 36.9017772554451 	 415.75 	 36.689886882723 	 419.25 	 36.6441910063824 	 414 	 38.1488990121677 	 419.25 	 38.6201018782473 	 417.5 	 39.3826638719932 	 415.75 	 40.161905541593 	 422.75 	 39.8539139183822 	 415.75 	 37.0272200104289 	 415.75 	 37.7442562252299 	 415.75 	 37.4602156606563 	 414 	 38.8273588922071 	 415.75 	 36.6453780353815 	 415.75 	 36.086957435493 	 415.75 	 38.6912040666683 	 414 	 39.5025684149334 	 414 	 39.413240565146 	 414 	 37.0559290642095 	 414 	 35.7636162086381 	 414 	 37.1156470593401 	 415.75 	 37.4818216442039 	 419.25 	 36.5670418487102 	 415.75 	 37.3386169594246 	 416.333333333333 	 38.7242253021749 	 414 	 38.1358259919004 	 415.75 	 41.0034507371814 	 414 	 37.7453804619271 	 414 	 40.7886327077741 	 415.75 	 39.2992495314508 	 414 	 39.6124088488007 	 419.25 	 37.6517956334126 	 415.75 	 38.7494463930925 	 419.25 	 40.1712086887044 
 421 	 36.1925317414265 	 416.333333333333 	 39.4522904892431 	 417.5 	 41.170096653839 	 421 	 40.745483134439 	 421 	 40.7254405157344 	 424.5 	 39.2610345854678 	 417.5 	 38.6920402293907 	 417.5 	 37.8240819549866 	 417.5 	 37.6616409152881 	 421 	 37.5449784277389 	 415.75 	 39.0853108623729 	 421 	 39.5999554977038 	 419.25 	 40.3598753027787 	 417.5 	 41.1003921782949 	 424.5 	 40.802065686485 	 417.5 	 37.9960974067201 	 417.5 	 38.6806853257393 	 417.5 	 38.3962681617767 	 415.75 	 39.7687203587251 	 417.5 	 37.5234659598495 	 417.5 	 37.0558046996887 	 417.5 	 39.6731591930483 	 416.333333333333 	 40.6353923843083 	 416.333333333333 	 40.3025766250348 	 415.75 	 37.9619594304581 	 416.333333333333 	 36.9057051143488 	 416.333333333333 	 38.209200387834 	 417.5 	 38.387432393967 	 421 	 37.5135408114905 	 417.5 	 38.3057316701285 	 418.666666666667 	 39.3976955281672 	 415.75 	 39.0430593760794 	 417.5 	 41.9552522130231 	 416.333333333333 	 38.76729625493 	 416.333333333333 	 41.78561642996 	 417.5 	 40.278254764908 	 416.333333333333 	 40.5165549463418 	 421 	 38.6222718319653 	 417.5 	 39.7234204889165 	 421 	 41.1518013139722 
