Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)	Wavelength (nm)	Transmittance (%)
 400 	 60.5492396089828 	 400 	 59.8471223344927 	 400 	 58.4262538561917 	 400 	 55.9542041656381 	 400 	 58.960885933959 	 400 	 59.1804919091831 	 400 	 59.8738380015254 	 400 	 59.4032494858466 	 400 	 59.6067601139302 	 400 	 59.0054273519242 	 400 	 60.1926794730467 	 400 	 59.7516522363647 	 400 	 61.3917352246232 	 400 	 60.4189079252771 	 400 	 59.6876599369634 	 400 	 60.7852489122461 	 400 	 58.1309443422705 	 400 	 57.4279329863415 	 400 	 58.1386539768097 	 400 	 60.7060158485661 	 400 	 61.0752750883212 	 400 	 56.465003860894 	 400 	 58.7829122875926 	 400 	 61.0934834140939 	 400 	 61.1493323642695 	 400 	 60.3970925473371 	 400 	 59.626111398302 	 400 	 59.5794634291949 	 400 	 61.8119722233437 	 400 	 60.5354213563993 	 400 	 58.2851930155665 	 400 	 63.631885216264 	 400 	 59.4224784079908 	 400 	 54.9654299345059 	 400 	 58.3228212892939 	 400 	 54.1669213272263 	 400 	 59.7804256623166 	 400 	 58.3093425425888 	 400 	 58.165446811582 	 400 	 59.4914173344764 
 402.153846153846 	 60.3049581874113 	 403.5 	 59.5954752373133 	 401.076923076923 	 57.9337071616198 	 403.5 	 55.6629075940012 	 401.435897435897 	 58.6277304396842 	 401.435897435897 	 58.7748657381606 	 401.435897435897 	 59.4089600366779 	 401.435897435897 	 58.9233445368253 	 401.076923076923 	 59.1250360703544 	 401.435897435897 	 58.6767430852765 	 401.435897435897 	 59.7765754376334 	 401.435897435897 	 59.4577072751633 	 401.435897435897 	 61.0363578950094 	 401.435897435897 	 60.0945145435947 	 402.153846153846 	 59.3946855150657 	 401.076923076923 	 60.3825618106636 	 401.076923076923 	 57.6801825282191 	 401.076923076923 	 56.9364489802252 	 401.076923076923 	 57.6388353294229 	 402.153846153846 	 60.48119662078 	 403.5 	 60.7783313035665 	 401.435897435897 	 55.9441238702421 	 401.435897435897 	 58.5235882563331 	 402.153846153846 	 60.8658323074148 	 401.435897435897 	 60.7025471847143 	 402.153846153846 	 60.1218501635988 	 403.5 	 59.3207622546727 	 401.076923076923 	 59.1292540585281 	 401.435897435897 	 61.344924465333 	 401.435897435897 	 60.2316159300116 	 402.153846153846 	 58.0758541887514 	 401.076923076923 	 63.1841237059067 	 401.076923076923 	 58.9438502950702 	 401.435897435897 	 54.500071093491 	 402.153846153846 	 58.1116153084078 	 402.153846153846 	 53.6073887970194 	 402.153846153846 	 59.4297236882228 	 401.076923076923 	 57.941328535805 	 401.076923076923 	 57.8053053812863 	 401.076923076923 	 59.0007936128451 
 403.5 	 60.1048995825084 	 407 	 59.2733889387074 	 401.75 	 57.6311181973364 	 407 	 55.2877893214782 	 402.333333333333 	 58.390366578842 	 402.333333333333 	 58.4922342140808 	 402.333333333333 	 59.0909836952373 	 402.333333333333 	 58.5964578780931 	 401.75 	 58.8300478651889 	 402.333333333333 	 58.4422326622969 	 402.333333333333 	 59.4876475597136 	 402.333333333333 	 59.2455084099736 	 402.333333333333 	 60.7848133907055 	 402.333333333333 	 59.8625586095733 	 403.5 	 59.1579568617758 	 401.75 	 60.1175041617527 	 401.75 	 57.3879138484079 	 401.75 	 56.6230023443998 	 401.75 	 57.3222196659642 	 403.5 	 60.2966433188188 	 407 	 60.2735159039381 	 402.333333333333 	 55.6394829948558 	 402.333333333333 	 58.3344113995299 	 403.5 	 60.6782117681953 	 402.333333333333 	 60.3953009054708 	 403.5 	 59.898005578183 	 407 	 58.814593164734 	 401.75 	 58.8375820745857 	 402.333333333333 	 61.0259061570912 	 402.333333333333 	 60.0129230343233 	 403.5 	 57.9085465988098 	 401.75 	 62.8951167688078 	 401.75 	 58.6373370914955 	 402.333333333333 	 54.2311581458277 	 403.5 	 57.9424040657907 	 403.5 	 53.3180062828149 	 403.5 	 59.1512959554441 	 401.75 	 57.6962445171718 	 401.75 	 57.5648595777934 	 401.75 	 58.6887911764257 
 405.653846153846 	 59.6930800297197 	 410.5 	 58.7442809767012 	 402.826923076923 	 57.1575571563176 	 409.153846153846 	 54.955916458165 	 403.769230769231 	 57.9639973552765 	 403.769230769231 	 57.9955718008935 	 403.769230769231 	 58.542073122973 	 403.216962524655 	 58.2559198713023 	 402.826923076923 	 58.3698424518597 	 403.769230769231 	 58.0203699129257 	 403.769230769231 	 58.9816739194215 	 403.769230769231 	 58.859342968626 	 403.769230769231 	 60.3361842958247 	 403.769230769231 	 59.4446233871891 	 405.653846153846 	 58.6809786175533 	 402.826923076923 	 59.6742073491754 	 402.826923076923 	 56.9060928783177 	 402.826923076923 	 56.114389439631 	 402.826923076923 	 56.8117981567059 	 405.653846153846 	 59.9134837011503 	 409.333333333333 	 59.7725703610226 	 403.769230769231 	 55.1865648252221 	 403.769230769231 	 57.9861267632268 	 405.653846153846 	 60.2885974314652 	 403.769230769231 	 59.862259949091 	 405.653846153846 	 59.4434097789343 	 409.333333333333 	 58.3152487904477 	 402.826923076923 	 58.3571364427507 	 403.769230769231 	 60.4760035029137 	 403.769230769231 	 59.6162255758929 	 405.653846153846 	 57.5624241287632 	 402.826923076923 	 62.4207836964572 	 402.826923076923 	 58.1380115632614 	 403.769230769231 	 53.8358014624218 	 405.653846153846 	 57.5922832058743 	 405.653846153846 	 52.9402473453242 	 405.653846153846 	 58.6028999894558 	 402.826923076923 	 57.2816771503467 	 402.826923076923 	 57.1571431069964 	 402.826923076923 	 58.183935882922 
 407 	 59.3731207157618 	 412.653846153846 	 58.273883862515 	 403.5 	 56.869246779812 	 410.5 	 54.6959841431582 	 404.666666666667 	 57.6691294728499 	 404.666666666667 	 57.6591513098681 	 404.666666666667 	 58.1764419922968 	 403.769230769231 	 58.0343617584282 	 403.5 	 58.0905456343921 	 404.666666666667 	 57.7282003733676 	 404.666666666667 	 58.6400827570295 	 404.666666666667 	 58.5889761805948 	 404.666666666667 	 60.0281223521414 	 404.666666666667 	 59.1548282069759 	 407 	 58.3183621013223 	 403.5 	 59.3864458002262 	 403.5 	 56.5975868430687 	 403.5 	 55.793638505889 	 403.5 	 56.491926582814 	 407 	 59.6129232757668 	 410.769230769231 	 59.3915419527297 	 404.666666666667 	 54.9252367192861 	 404.666666666667 	 57.7394556999951 	 407 	 59.9833317230996 	 404.666666666667 	 59.5055576338862 	 407 	 59.0952251140834 	 410.769230769231 	 57.9357810977636 	 403.5 	 58.0497583175072 	 404.666666666667 	 60.1102433721063 	 404.666666666667 	 59.3393924349235 	 407 	 57.2891607142992 	 403.5 	 62.1183798813895 	 403.5 	 57.8219295595904 	 404.666666666667 	 53.610056624877 	 407 	 57.3160855080977 	 407 	 52.7493610628443 	 407 	 58.1951376368302 	 403.5 	 57.0096221861979 	 403.5 	 56.8889569116887 	 403.5 	 57.8664239181767 
 408.435897435897 	 58.9771398323556 	 414 	 57.9176727617354 	 404.576923076923 	 56.4219544390522 	 412.653846153846 	 54.1854442078298 	 406.102564102564 	 57.1540280727973 	 405.550295857988 	 57.3097391729771 	 405.550295857988 	 57.8013037403936 	 404.666666666667 	 57.6612928068362 	 404.576923076923 	 57.6585880320249 	 406.102564102564 	 57.2170852688554 	 405.550295857988 	 58.2861638111127 	 406.102564102564 	 58.1110377070605 	 406.102564102564 	 59.4937607764282 	 406.102564102564 	 58.6473892624075 	 408.435897435897 	 57.877147875486 	 404.576923076923 	 58.9115142769142 	 404.576923076923 	 56.0950646818779 	 404.576923076923 	 55.2787274708648 	 404.576923076923 	 55.9815382510713 	 408.435897435897 	 59.2380560811475 	 411.666666666667 	 59.1250538537751 	 406.102564102564 	 54.5404619715728 	 406.102564102564 	 57.2983385797042 	 408.435897435897 	 59.6031282473474 	 405.550295857988 	 59.1383474352131 	 408.435897435897 	 58.669197418068 	 411.666666666667 	 57.670404386069 	 404.576923076923 	 57.5494728966683 	 405.550295857988 	 59.7353603018818 	 406.102564102564 	 58.8516377434038 	 408.435897435897 	 56.9452443838098 	 404.576923076923 	 61.6278663547816 	 404.576923076923 	 57.3126880487066 	 406.102564102564 	 53.2804937091199 	 408.435897435897 	 56.9688306600999 	 409.153846153846 	 52.4985848617567 	 408.435897435897 	 57.7073998855157 	 404.576923076923 	 56.5558744730673 	 404.576923076923 	 56.4406473929485 	 404.576923076923 	 57.3580747318055 
 409.333333333333 	 58.7012255243957 	 415.435897435897 	 57.4847076662079 	 405.25 	 56.1515455862457 	 414 	 53.8047972394708 	 407 	 56.8072853388409 	 406.102564102564 	 57.0830715521811 	 406.102564102564 	 57.5602465813892 	 405.550295857988 	 57.2795130295172 	 405.25 	 57.3982376857736 	 407 	 56.8725561797559 	 406.102564102564 	 58.0570151649456 	 407 	 57.7857434604693 	 407 	 59.1365129046593 	 407 	 58.3051049320276 	 409.333333333333 	 57.573843402628 	 405.25 	 58.6068139785532 	 405.25 	 55.776694728573 	 405.25 	 54.9570218293248 	 405.25 	 55.6645085424062 	 409.333333333333 	 58.9752286809024 	 413.102564102564 	 58.654679315403 	 407 	 54.3209715482559 	 407 	 56.9947906965775 	 409.333333333333 	 59.3368904274264 	 406.102564102564 	 58.901778143758 	 409.333333333333 	 58.3750516562158 	 413.102564102564 	 57.2019369597419 	 405.25 	 57.2327569008839 	 406.102564102564 	 59.4946745566279 	 407 	 58.52072341279 	 409.333333333333 	 56.7020435866222 	 405.25 	 61.3183207803911 	 405.25 	 56.9934198914753 	 407 	 53.0938471643541 	 409.333333333333 	 56.7235020542787 	 410.5 	 52.3645104450035 	 409.333333333333 	 57.3766266359552 	 405.25 	 56.2618452319143 	 405.25 	 56.1495119011403 	 405.25 	 57.0412770337442 
 410.769230769231 	 58.2160365253667 	 416.333333333333 	 57.1871430509713 	 406.326923076923 	 55.7352983182415 	 415.076923076923 	 53.466426065812 	 408.076923076923 	 56.3686487667542 	 407 	 56.7024728680124 	 407 	 57.159233507292 	 406.102564102564 	 57.0346713078179 	 406.326923076923 	 56.9987083119828 	 408.076923076923 	 56.4362271318876 	 407 	 57.6729842058366 	 408.076923076923 	 57.3705585201396 	 408.076923076923 	 58.6871380898621 	 408.076923076923 	 57.8714243247025 	 410.769230769231 	 57.047375916322 	 406.326923076923 	 58.109812554614 	 406.326923076923 	 55.2636199038769 	 406.326923076923 	 54.4454960040499 	 406.326923076923 	 55.1632795507691 	 410.769230769231 	 58.5102899436307 	 414 	 58.3345447234189 	 408.325443786982 	 54.0250199076564 	 408.076923076923 	 56.6038514809908 	 410.769230769231 	 58.8665075020827 	 407 	 58.507244609515 	 410.769230769231 	 57.8623660202108 	 414 	 56.8830379338713 	 406.326923076923 	 56.7227434576418 	 407 	 59.0946216123429 	 408.076923076923 	 58.0994844133925 	 410.769230769231 	 56.2678707096708 	 406.326923076923 	 60.8214451347781 	 406.326923076923 	 56.484095572169 	 408.325443786982 	 52.8432082186859 	 410.769230769231 	 56.2859717539569 	 412.653846153846 	 52.1629682989229 	 410.216962524655 	 57.0330033953616 	 406.326923076923 	 55.7775859492341 	 406.326923076923 	 55.6690104701062 	 406.326923076923 	 56.5388474437847 
 411.666666666667 	 57.887020262085 	 417.769230769231 	 56.6704867829024 	 407 	 55.4860520384233 	 415.75 	 53.2401305715346 	 408.75 	 56.0833194145039 	 408.076923076923 	 56.2282318339331 	 408.076923076923 	 56.6656083617298 	 407 	 56.6281365238284 	 407 	 56.7602221021437 	 408.75 	 56.1521222955597 	 408.076923076923 	 57.1956712557662 	 408.75 	 57.0984438747694 	 408.75 	 58.3962384846615 	 408.75 	 57.5889519322307 	 411.666666666667 	 56.6947015086022 	 407 	 57.7948481214072 	 407 	 54.9422212531532 	 407 	 54.1292174792086 	 407 	 54.8550934541793 	 411.666666666667 	 58.1932469562264 	 415.076923076923 	 57.9258248904331 	 409.153846153846 	 53.8562261434491 	 408.75 	 56.3456520075865 	 411.666666666667 	 58.5461309272008 	 408.076923076923 	 58.0200032273284 	 411.666666666667 	 57.5175983728877 	 415.076923076923 	 56.4758158676357 	 407 	 56.4035129056254 	 408.076923076923 	 58.6027349372178 	 408.75 	 57.8240295225278 	 411.666666666667 	 55.9691086213013 	 407 	 60.5114210404726 	 407 	 56.1681795362861 	 409.153846153846 	 52.7004009123993 	 411.666666666667 	 55.9851996018178 	 414 	 52.0322381791745 	 410.769230769231 	 56.8098770808456 	 407 	 55.467816672742 	 407 	 55.3610208302523 	 407 	 56.2289900104934 
 413.102564102564 	 57.3232747933136 	 418.666666666667 	 56.3241565282649 	 407.883629191321 	 55.1721409066985 	 416.826923076923 	 52.8554645043196 	 409.826923076923 	 55.6113522231999 	 408.75 	 55.9236662542719 	 408.75 	 56.351866285381 	 408.076923076923 	 56.1289416930236 	 407.883629191321 	 56.4606980073586 	 409.826923076923 	 55.6817316882281 	 408.75 	 56.8897950545282 	 409.826923076923 	 56.6450649853296 	 409.826923076923 	 57.9173228306371 	 409.826923076923 	 57.1211391673881 	 412.550295857988 	 56.3315806891833 	 408.076923076923 	 57.2868107850162 	 408.076923076923 	 54.4295533110603 	 408.076923076923 	 53.6310103579343 	 408.076923076923 	 54.3722612824888 	 413.102564102564 	 57.6471519664294 	 415.75 	 57.6578271423736 	 410.5 	 53.6063588673845 	 409.826923076923 	 55.9122424384873 	 413.102564102564 	 57.9949059617503 	 408.75 	 57.7094550231149 	 412.550295857988 	 57.1616266675115 	 415.75 	 56.2087540325004 	 408.076923076923 	 55.8947040603809 	 408.75 	 58.2904011948783 	 409.826923076923 	 57.3661027454683 	 413.102564102564 	 55.449817417646 	 408.076923076923 	 60.0188201725845 	 408.076923076923 	 55.6690373829587 	 410.5 	 52.4882461211481 	 413.102564102564 	 55.4629363352741 	 416.153846153846 	 51.7919621713925 	 411.666666666667 	 56.4348188535249 	 408.076923076923 	 54.9636384563765 	 408.076923076923 	 54.858753096582 	 408.076923076923 	 55.7421391073841 
 414 	 56.9501702903992 	 419.550295857988 	 55.9673018136411 	 408.435897435897 	 54.9838123710426 	 417.5 	 52.6016956012206 	 410.5 	 55.3081177570719 	 409.826923076923 	 55.4260401109455 	 409.826923076923 	 55.844352363775 	 408.75 	 55.8123114936607 	 408.435897435897 	 56.2814652553027 	 410.5 	 55.3792289428406 	 409.826923076923 	 56.3910784993374 	 410.5 	 56.3517469098627 	 410.5 	 57.6110253815121 	 410.5 	 56.8202271488575 	 413.102564102564 	 56.0974110648675 	 408.75 	 56.9682292280889 	 408.75 	 54.1115144601495 	 408.75 	 53.325692348858 	 408.75 	 54.0779401352108 	 414 	 57.2839523493738 	 416.826923076923 	 57.2110218681273 	 412.653846153846 	 53.2612703530215 	 410.5 	 55.6298307599491 	 414 	 57.6286656574826 	 409.826923076923 	 57.2057571678363 	 413.102564102564 	 56.9315726643982 	 416.826923076923 	 55.7634369283762 	 408.75 	 55.5793100684427 	 409.826923076923 	 57.7856416850172 	 410.5 	 57.0704772594694 	 414 	 55.1014096089626 	 408.75 	 59.7144122891261 	 408.75 	 55.3622533206069 	 412.653846153846 	 52.1899742141484 	 414 	 55.1128728853975 	 417.5 	 51.6107425314749 	 412.550295857988 	 56.0520666447446 	 408.75 	 54.644710707809 	 408.75 	 54.540427930331 	 408.75 	 55.4445408219044 
 415.076923076923 	 56.4844718151612 	 420.102564102564 	 55.7370269521295 	 409.333333333333 	 54.6909297481789 	 418.576923076923 	 52.1760247736515 	 411.576923076923 	 54.812443028073 	 410.5 	 55.110071392008 	 410.5 	 55.5252082156166 	 409.826923076923 	 55.3011206911781 	 409.333333333333 	 56.0034508188946 	 411.576923076923 	 54.8842994876364 	 410.5 	 56.0750654562486 	 411.576923076923 	 55.8690749450891 	 411.576923076923 	 57.1125565496202 	 411.576923076923 	 56.3278114187789 	 414 	 55.7064174229176 	 409.826923076923 	 56.4595229426682 	 409.826923076923 	 53.6089143634596 	 409.826923076923 	 52.8488481234249 	 409.826923076923 	 53.6206568237992 	 415.076923076923 	 56.8288377538761 	 417.5 	 56.9217300955173 	 414 	 53.0731613847364 	 411.576923076923 	 55.161882564479 	 415.076923076923 	 57.1700995997852 	 410.5 	 56.8881889597961 	 414 	 56.546645102266 	 417.5 	 55.4750671178646 	 409.826923076923 	 55.0812918758866 	 410.5 	 57.4685212499668 	 411.576923076923 	 56.5850214233238 	 415.076923076923 	 54.6616666818772 	 409.826923076923 	 59.2352083233662 	 409.826923076923 	 54.8817865479762 	 414 	 52.0215749695425 	 415.076923076923 	 54.6713940491516 	 419.653846153846 	 51.2526339600187 	 413.102564102564 	 55.8069307328049 	 409.826923076923 	 54.1311468478743 	 409.826923076923 	 54.0268853455255 	 409.826923076923 	 54.9809372138476 
